Name,Degree,DP Score,NPV Value,Location,City,Consult Fee,Years of Experience,Speciality
Dr. Ruchi Mathur,"MBBS, MS - Obstetrics & Gynaecology",96%,(99 patients),Indirapuram,Ghaziabad,₹600,19,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. J Prabhakar Rao,"MD - Pediatrics, MBBS",98%,(129 patients),Vasundhara,Ghaziabad,₹500,33,Pediatrician
Mr. Nitin Anandi Lal,M.Phil - Clinical Psychology,100%,(13 patients),Vaishali,Ghaziabad,₹800,t7,TherapistPsychologist
Dr. Manish Kak,"MBBS, MD - General Medicine, DNB - Gastroenterology",93%,(113 patients),Pandav Nagar,Ghaziabad,₹800,26,Gastroenterologist
Dr. Pavan Kumar Johri,"MBBS, MS - Ophthalmology",,,Vaishali,Ghaziabad,₹800,33,Ophthalmologist/ Eye Surgeon
Dr. Manju Singh,BAMS,88%,(26 patients),Vaishali,Ghaziabad,₹800,29,AYUSHAyurveda
Dr. Mala Bhattacharjee,"MBBS, MS - ENT",,,Vaishali,Ghaziabad,₹700,28,ENT/ Otorhinolaryngologist
Dr. Archana Chaudhary Prasad,"BDS, MDS - Conservative Dentistry & Endodontics",,,Indirapuram,Ghaziabad,₹400,18,"Dental Surgeon, Conservative Dentist, Endodontist"
Dr. Rakhi Rawat,"MS - Obstetrics & Gynaecology, MBBS",,,Vaishali,Ghaziabad,₹1000,20,"Gynecologist, Obstetrician"
Dr. Abhishek Singh,"MBBS, MD - General Medicine, DNB - Cardiology",,,Pandav Nagar,Ghaziabad,₹800,22,Cardiologist
Dr. Anurag Kumar,"MBBS, DNB - General Surgery, DNB - Urology/Genito - Urinary Surgery",,,Vaishali,Ghaziabad,₹800,20,"Andrologist, Urologist, Urological Surgeon, Sexologist"
Dr. Ashish Pathak,"BDS, MDS - Orthodontics and Dentofacial Orthopaedics",100%,(32 patients),Vaishali,Ghaziabad,₹400,t8,"Orthodontist, Dentist"
Dr. Prerna Singhal,"MD - Obstetrics & Gynaecology, MBBS",98%,(646 patients),Indirapuram,Ghaziabad,₹800,21,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Vivek Kumar,"MD - General Medicine, DM - Neurology, MBBS",86%,(42 patients),Indirapuram,Ghaziabad,₹1200,32,Neurologist
Dr. Shweta  Goyal,MS - Obstetrics & Gynaecology,,,Raj Nagar,Ghaziabad,₹500,10,"Gynecologist, Infertility Specialist, Obstetrician"
Dr. Hitendra Sharma,"MBBS, MS - General Surgery",,,Pandav Nagar,Ghaziabad,₹700,25,General Surgeon
Dr. Abhishek Srivastava,"MBBS, MS - Orthopaedics",,,Vaishali,Ghaziabad,₹800,16,Spine Surgeon (Ortho)
Dr. Alpana Jain   (Physiotherapist),BPTh/BPT,99%,(150 patients),Indirapuram,Ghaziabad,₹300,14,TherapistPhysiotherapist
Dr. Nidhi Khurana,BDS,98%,(308 patients),Vasundhara,Ghaziabad,₹300,18,Cosmetic/Aesthetic Dentist
Dr. Shaurya Pratap,"MDS - Conservative Dentistry & Endodontics, BDS",94%,(35 patients),Vaishali,Ghaziabad,₹300,17,"Dentist, Endodontist"
Dr. K Ramalingam,"MBBS, MD - Pediatrics",86%,(28 patients),Vaishali,Ghaziabad,₹1200,28,"Paediatric Intensivist, Pediatrician"
Dr. Vikas Goswami,"MBBS, MD - General Medicine, DNB  - Medical Oncology",88%,(17 patients),Vaishali,Ghaziabad,₹1000,18,"Medical Oncologist, Hematologic Oncologist"
Dr. Mohit Srivastava,"MBBS, MS - ENT",,,Vasundhara,Ghaziabad,₹800,18,ENT/ Otorhinolaryngologist
Dr. Anil Garg,"BDS, MDS - Prosthodontics",84%,(32 patients),Shastri Nagar,Ghaziabad,₹800,38,"Prosthodontist, Dental Surgeon, Implantologist"
Dr. Nishant Nagpal,"MBBS, MD - General Medicine, DNB - Gastroenterology",82%,(34 patients),Vaishali,Ghaziabad,₹1000,19,Gastroenterologist
Dr. Sowjanya Aggarwal,"MBBS, MS - Obstetrics & Gynaecology",100%,(11 patients),Vaishali,Ghaziabad,₹800,19,"Infertility Specialist, Gynecologist"
Dr. Gaurav Govil,"MBBS, MS - Orthopaedics",,,Indirapuram,Ghaziabad,₹800,23,"Orthopedic surgeon, Joint Replacement Surgeon"
Dr. Namita Kaul,"MBBS, MD - Medicine, DNB - Neurology",95%,(62 patients),Vaishali,Ghaziabad,₹1000,16,Neurologist
Dr. Saurabh Jindal,"MD - Dermatology , Venereology & Leprosy, MBBS, DNB - Dermatology & Venereology",99%,(223 patients),Vaishali,Ghaziabad,₹1000,22,Dermatologist
Dr. Juhi Singh,"BDS, MDS - Conservative Dentistry & Endodontics",100%,(49 patients),Indirapuram,Ghaziabad,₹500,10,"Dentist, Cosmetic/Aesthetic Dentist, Endodontist, Implantologist"
Dr. Anshul Garg,"MBBS, MS - ENT",86%,(29 patients),Shastri Nagar,Ghaziabad,₹500,15,ENT/ Otorhinolaryngologist
Dr. Jotinder Khanna,"MBBS, MS - General Surgery, FNB - Minimal Access Surgery",100%,(35 patients),Vaishali,Ghaziabad,₹1000,26,"General Surgeon, Bariatric Surgeon, Laparoscopic Surgeon, Proctologist"
Dr. Shailendra Kumar Goel,"MBBS, MS - General Surgery, MCh - Urology, DNB - Urology/Genito - Urinary Surgery",79%,(89 patients),Vaishali,Ghaziabad,₹1200,26,"Urological Surgeon, Urologist, Sexologist, Andrologist"
Dr. Anshuman Ahuja,"BDS, MDS - Oral & Maxillofacial Surgery",97%,(563 patients),Indirapuram,Ghaziabad,₹500,22,"Implantologist, Oral And MaxilloFacial Surgeon, Dentist, Dental Surgeon"
Dr. Gagan Saini,"MBBS, MD - Radiotherapy, DNB - Radiotherapy",,,Vaishali,Ghaziabad,₹800,21,Radiation Oncologist
Dr. Sushil Gaur,"MBBS, MS - ENT",95%,(222 patients),Vasundhara,Ghaziabad,₹600,20,"ENT/ Otorhinolaryngologist, Pediatric Otorhinolaryngologist"
Dr. Saphalta Baghmar,"MBBS, MD - General Medicine, DM - Oncology",,,Vaishali,Ghaziabad,₹800,14,Medical Oncologist
Dr. Sourabh Gupta,"MBBS, MD - Pediatrics, DM - Nephrology",,,Vaishali,Ghaziabad,₹800,13,"Nephrologist/Renal Specialist, Special Interest in Pediatric Nephrology"
Dr. Pramod Kumar Mishra,"MBBS, Diploma in Anesthesiology, MS - General Surgery, Doctor of Psychology, PhD - Gastrointestinal Surgery",,,Vaishali,Ghaziabad,₹1000,40,"GastroIntestinal Surgeon, General Surgeon"
Dr. Ashok Singh,"MBBS, MS - ENT",82%,(214 patients),Vaishali,Ghaziabad,₹800,21,ENT/ Otorhinolaryngologist
Dr. Atul Jain,"MBBS, MS - ENT",,,Vaishali,Ghaziabad,₹1000,48,"ENT/ Otorhinolaryngologist, General Physician"
Dr. Shruti Mahajan,"MBBS, MS - Ophthalmology",,,Sahibabad,Ghaziabad,₹500,12,Ophthalmologist/ Eye Surgeon
Dr. Tarun Goel,"MBBS, MRCP (UK)",,,Vaishali,Ghaziabad,₹600,23,"Internal Medicine, General Physician"
Dr. Upasana Sethi Ahuja,MDS - Oral Medicine and Radiology,,,Indirapuram,Ghaziabad,₹500,16,"Oral Medicine and Radiology, Dentist"
Dr. Lokesh Chandra,BDS,100%,(136 patients),Indirapuram,Ghaziabad,₹400,t9,"Dentist, Dental Surgeon, Implantologist"
Dr. Syeda Saba Farheen,BUMS,,,Model Town,Ghaziabad,₹150,19,AYUSHUnani
Dr. Rashmi Verma Gautam   (Physiotherapist),"MPT/MPTh - Sports Medicine, BPTh/BPT",100%,(57 patients),Raj Nagar Extension,Ghaziabad,₹200,16,TherapistPhysiotherapist
Dr. Vishal Agarwal,"MBBS, MS - General Surgery, MCh - Cardio Thoracic and Vascular Surgery",,,Vaishali,Ghaziabad,₹1000,18,Cardiothoracic and Vascular Surgeon
Dr. Shweta Bajaj,"MBBS, DGO",100%,(36 patients),Vaishali,Ghaziabad,₹500,15,"Obstetrician, Gynecologist, Infertility Specialist"
Dr. Ratan Ranjan Pandey,BDS,,,Pandav Nagar,Ghaziabad,₹800,12,Dentist
Dr. Swati Rai,BDS,99%,(80 patients),Kavi Nagar,Ghaziabad,₹500,15,"Dentist, Cosmetic/Aesthetic Dentist"
Dr. Meenu Walia,"MBBS, MD - General Medicine, DNB  - Medical Oncology",,,Vaishali,Ghaziabad,₹800,30,Medical Oncologist
Dr. Rajat Gupta,"MDS - Oral & Maxillofacial Surgery, BDS",100%,(49 patients),Indirapuram,Ghaziabad,₹500,14,"Dental Surgeon, Oral And MaxilloFacial Surgeon"
Dr. Abhishek S Parihar,"MS - Obstetrics & Gynaecology, MBBS, Fellowship in Reproductive Medicine",92%,(13 patients),Indirapuram,Ghaziabad,₹800,22,"Infertility Specialist, Obstetrician, Gynecologist"
Dr. Rajesh Kumar Verma,"MBBS, M.Ch - Orthopaedics, MS - Orthopaedics",,,Pandav Nagar,Ghaziabad,₹700,26,"Orthopedic surgeon, Joint Replacement Surgeon, Spine Surgeon (Ortho)"
Dr. Suchitra Kaur,BDS,,,Vaishali,Ghaziabad,₹200,t8,"Dentist, Implantologist, Cosmetic/Aesthetic Dentist"
Dr. Mukesh Dwivedi,MBBS,98%,(142 patients),Vasundhara,Ghaziabad,₹700,33,"General Physician, Special Interest in Diabetology"
Dr. Esha Sharma,"BDS, MDS - Conservative Dentistry & Endodontics",100%,(54 patients),Indirapuram,Ghaziabad,₹500,t9,"Dentist, Endodontist, Restorative Dentist"
Dr. Pavitra Dosaj,"MD - Physician, MS - General Surgery",100%,(208 patients),Indirapuram,Ghaziabad,₹600,16,"General Surgeon, Laparoscopic Surgeon, Proctologist, Bariatric Surgeon, Diabetic Foot Surgeon"
Dr. Ashish Garg,"MBBS, MD - General Medicine, DNB - Gastroenterology",91%,(32 patients),Vaishali,Ghaziabad,₹600,20,Gastroenterologist
Dr. Rahul Madoiya,"MBBS, Diploma in Tuberculosis and Chest Diseases (DTCD)",,,Sahibabad,Ghaziabad,₹300,23,General Physician
Dr. Vipin Barthwal,"MBBS, MS - General Surgery, MCh - Plastic Surgery",,,Vaishali,Ghaziabad,₹800,21,Plastic Reconstruction Surgeon
Dr. Amit Batra,"MBBS, MD - Medicine, DM - Neurology",88%,(26 patients),Vaishali,Ghaziabad,₹800,23,Neurologist
Dr. Poonam Tyagi,BDS,98%,(127 patients),Sahibabad,Ghaziabad,₹400,17,Dentist
Dr. Puneet Mathur,"M.D. (Psychiatry), MBBS",,,Pandav Nagar,Ghaziabad,₹700,13,"Psychiatrist, Addiction Psychiatrist, Neuropsychiatrist"
Dr. Avinash Sharma,"MBBS, Diploma in Anesthesiology",,,Vaishali,Ghaziabad,₹800,t8,Anesthesiologist
Dr. Vinay Bhatt,"MBBS, MD - General Medicine",,,Pandav Nagar,Ghaziabad,₹800,19,"Internal Medicine, General Physician"
Dr. Shanu Gairola,"MBBS, MD - Obstetrics & Gynaecology",,,Vaishali,Ghaziabad,₹600,28,Gynecologist
Dr. Sanjay Saxena,"MBBS, DNB - Neurology, DM - Neurology",94%,(16 patients),Vaishali,Ghaziabad,₹1500,24,Neurologist
Dr. Prof. Amit Kumar Agarwal,"MS - Orthopaedics, M.Ch - Orthopaedics, DNB - Orthopedics/Orthopedic Surgery, MBBS",98%,(266 patients),Indirapuram,Ghaziabad,₹800,19,"Joint Replacement Surgeon, Spine Surgeon (Ortho)"
Dr. Keshav Das Sadhwani,MBBS,,,Pandav Nagar,Ghaziabad,₹1200,36,General Physician
Dr. Gaurav Minocha,"MBBS, MD - General Medicine, DM - Cardiology",90%,(31 patients),Vaishali,Ghaziabad,₹1000,26,"Interventional Cardiologist, Cardiologist"
Dr. Vineet Goel,BDS,100%,(760 patients),Nehru Nagar,Ghaziabad,₹400,21,"Dentist, Implantologist, Dental Surgeon"
Dr. Ankita Dudeja,BDS,98%,(200 patients),Indirapuram,Ghaziabad,₹400,13,"Dental Surgeon, Dentist, Cosmetic/Aesthetic Dentist, Implantologist"
Dr. Anita Jain,"MBBS, MS - Obstetrics & Gynaecology",,,Vaishali,Ghaziabad,₹600,38,Gynecologist
Dr. Vivek Bindal,"MBBS, DNB - General Surgery, MS - General Surgery, MRCS (UK), FNB - Minimal Access Surgery, MNAMS - General Surgery",,,Vaishali,Ghaziabad,₹1000,14,"Bariatric Surgeon, Laparoscopic Surgeon, General Surgeon"
Dr. Rinshu Bansal,"MD - Pediatrics, MBBS",99%,(85 patients),Indirapuram,Ghaziabad,₹500,16,Pediatrician
Dr. Vishal Agrawal,"MBBS, MS - Orthopaedics",95%,(20 patients),Indirapuram,Ghaziabad,₹800,23,"Orthopedic surgeon, Joint Replacement Surgeon"
Dr. Aditya Sharma,"MBBS, MS - Orthopaedics",90%,(51 patients),Vaishali,Ghaziabad,₹800,16,"Orthopedic surgeon, Joint Replacement Surgeon"
Dr. Deepak Verma,"MBBS, MD - Medicine",99%,(916 patients),Vasundhara,Ghaziabad,₹800,19,"Internal Medicine, General Physician"
Dr. Tejasvi Saigal,"BDS, MDS - Prosthodontics",97%,(680 patients),Kavi Nagar,Ghaziabad,₹600,24,"Prosthodontist, Dental Surgeon, Dentist, Implantologist"
Dr. Sharad Joshi,"MBBS, MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine",58%,(12 patients),Vaishali,Ghaziabad,₹1000,22,Pulmonologist
Dr. Apoorva Chandra,MBBS,91%,(23 patients),Kavi Nagar,Ghaziabad,₹650,14,General Physician
Dr. Sunil Dhar,"MBBS, MS - General Surgery",,,Vaishali,Ghaziabad,₹1000,24,"General Surgeon, Laparoscopic Surgeon"
Dr. Tulika Jain,"BHMS, MD - Homeopathy",94%,(18 patients),Vaishali,Ghaziabad,₹450,17,AYUSHHomoeopath
Dr. Vani Puri,"MBBS, DGO, DNB - Obstetrics & Gynecology",98%,(173 patients),Raj Nagar Extension,Ghaziabad,₹500,23,"Gynecologist, Obstetrician, Infertility Specialist"
Dr. Vandana Jain,"MS - Obstetrics & Gynaecology, MBBS, Fellow of Indian College of Obstetrics and Gynecology (FICOG)",97%,(500 patients),Vasundhara,Ghaziabad,₹600,20,"Gynecologist, Obstetrician, Infertility Specialist, Reproductive Endocrinologist (Infertility), Laparoscopic Surgeon (Obs & Gyn)"
Dr. Anita K Sharma,"MBBS, MD - Obstetrics & Gynaecology",80%,(201 patients),Vaishali,Ghaziabad,₹800,43,"Obstetrician, Gynecologist"
Dr. Praveen Gupta,"MBBS, Diploma in Child Health (DCH)",,,Pandav Nagar,Ghaziabad,₹700,23,Pediatrician
Dr. Neha Saxena,"MBBS, MS - Obstetrics & Gynaecology",92%,(24 patients),Raj Nagar Extension,Ghaziabad,₹500,13,Gynecologist
Dr. Himanshu Saluja   (Physiotherapist),MPTh/MPT - Orthopedic Physiotherapy,98%,(424 patients),Vaishali,Ghaziabad,₹350,11,TherapistOrthopedic Physiotherapist
Dr. Rajiv Mehrotra,"MBBS, DM - Cardiology, MD - General Medicine",,,Vaishali,Ghaziabad,₹1500,38,Cardiologist
Dr. Varun Grover,"BDS, MDS - Orthodontics",97%,(66 patients),Vasundhara,Ghaziabad,₹300,21,Orthodontist
Dr. Anuj Gupta,BDS,94%,(120 patients),Surya Nagar,Ghaziabad,₹400,21,Dentist
Dr. V.A. Senthil Kumar,"MBBS, MS - Orthopaedics",89%,(18 patients),Vaishali,Ghaziabad,₹600,30,"Spine Surgeon (Ortho), Joint Replacement Surgeon, Orthopedic surgeon"
Dr. Ruchir Garg,"BDS, MDS - Conservative Dentistry",98%,(679 patients),Nehru Nagar,Ghaziabad,₹500,26,"Dentist, Implantologist, Endodontist, Cosmetic/Aesthetic Dentist"
Dr. Vivek Sharma,"BDS, MDS - Prosthodontics",96%,(513 patients),Indirapuram,Ghaziabad,₹500,18,"Prosthodontist, Dentist, Dental Surgeon, Cosmetic/Aesthetic Dentist, Implantologist"
Dr. Bhupendra Singh,"MBBS, MD - Medicine, DM - Cardiology",,,Pandav Nagar,Ghaziabad,₹800,23,Interventional Cardiologist
Dr. Anubhav Rathi,"MBBS, M.D. (Psychiatry)",100%,(14 patients),Shastri Nagar,Ghaziabad,₹1200,17,Psychiatrist
Ms. Manisha,MA - Psychology,97%,(72 patients),Vaishali,Ghaziabad,₹1500,25,TherapistCounselling Psychologist
Dr. Lovy Gaur,"MBBS, MD - General Medicine, DNB - Nephrology",,,Vaishali,Ghaziabad,₹800,12,Nephrologist/Renal Specialist
Dr. Vivek Rathore,BAMS,88%,(16 patients),Old Raj Nagar,Ghaziabad,₹300,20,"AYUSHAyurveda, Sexologist"
Dr. Vineet Kapoor,"BDS, MDS - Periodontics",100%,(239 patients),Vasundhara,Ghaziabad,₹300,15,"Dentist, Implantologist, Dental Surgeon, Cosmetic/Aesthetic Dentist"
Dr. Dharmendra Singh,"MBBS, MS - General Surgery, MCh - Pediatric  Surgery",,,Vaishali,Ghaziabad,₹1200,25,Pediatric Surgeon
Dr. Diksha Garg,BHMS,,,Govindpuram,Ghaziabad,₹300,14,AYUSHHomoeopath
Dr. Vibhu V Mittal,"MBBS, MD - Medicine, DM - Gastroenterology",85%,(140 patients),Vaishali,Ghaziabad,₹1000,21,Gastroenterologist
Dr. Ajit Shivach,BHMS,96%,(493 patients),Rajendra Nagar,Ghaziabad,₹800,18,AYUSHHomoeopath
Dr. Ajay Popli,"MBBS, DNB - Orthopedics/Orthopedic Surgery",,,Vaishali,Ghaziabad,₹800,23,Spine Surgeon (Ortho)
Dr. Gaurav Mittal,"BDS, MDS - Oral & Maxillofacial Surgery",98%,(59 patients),Govindpuram,Ghaziabad,₹500,23,Oral And MaxilloFacial Surgeon
Dr. Pooja Saigal,BDS,98%,(93 patients),Kavi Nagar,Ghaziabad,₹600,24,"Dentist, Dental Surgeon"
Dr. Nitesh Sharma,BHMS,98%,(88 patients),Indirapuram,Ghaziabad,₹500,10,AYUSHHomoeopath
Dr. Neha Agarwal,"BDS, Fellowship in Cosmetology",,,Surya Nagar,Ghaziabad,₹500,15,"Dental Surgeon, Dentist"
Dr. Pabitra Sahu,"MBBS, MD - General Medicine, DM - Gastroenterology",,,Vaishali,Ghaziabad,₹600,11,Gastroenterologist
Dr. Rakesh Gupta,BAMS,97%,(266 patients),Indirapuram,Ghaziabad,₹500,21,AYUSHAyurveda
Dr. Ankit Garg,"MDS - Conservative Dentistry & Endodontics, BDS",91%,(47 patients),Shastri Nagar,Ghaziabad,₹800,13,"Endodontist, Dental Surgeon, Cosmetic/Aesthetic Dentist"
Dr. Vaibhav Vashishtha,BDS,,,Sahibabad,Ghaziabad,₹300,11,Dental Surgeon
Dr. Manish Mahabir,MD - Ophthalmology,92%,(12 patients),Indirapuram,Ghaziabad,₹500,12,Ophthalmologist/ Eye Surgeon
Dr. Manish Raj,"MBBS, MS - General Surgery",94%,(18 patients),Zeta I,Greater Noida,₹500,14,"General Physician, General Surgeon"
Dr. Rajat Kaura,"BDS, MDS - Oral & Maxillofacial Surgery",,,Greater Noida West,Greater Noida,₹500,12,"Oral And MaxilloFacial Surgeon, Implantologist, Craniofacial Surgeon"
Dr. Sidharth Singh Chandel,"MBBS, Diploma in Orthopaedics, DNB - Orthopedics/Orthopedic Surgery, Post Graduate Diploma in Sports Medicine",98%,(83 patients),Greater Noida West,Greater Noida,₹500,14,"Orthopedic surgeon, Joint Replacement Surgeon, Spine Surgeon (Ortho)"
Dr. Sachin Agarwal,"MBBS, MS - Orthopaedics",,,Greater Noida West,Greater Noida,₹600,17,Orthopedic surgeon
Dr. Pratap Saini,"MDS - Orthodontics and Dentofacial Orthopaedics, BDS",99%,(86 patients),Sector Alpha II,Greater Noida,₹500,16,"Orthodontist, Dental Surgeon, Dentist"
Dr. Ruchi Chandel,BHMS,,,Greater Noida West,Greater Noida,₹500,13,AYUSHHomoeopath
Dr. Raghavendra Singh,"BDS, MDS - Orthodontics",98%,(306 patients),Greater Noida West,Greater Noida,₹500,15,"Orthodontist, Cosmetic/Aesthetic Dentist"
Dr. Priyanka Rathore,BDS,100%,(48 patients),Greater Noida West,Greater Noida,₹300,t9,"Dentist, Cosmetic/Aesthetic Dentist"
Dr. Rajeev Ranjan,"MD - Physician, Diploma in Child Health (DCH)",94%,(1862 patients),Greater Noida West,Greater Noida,₹900,23,Pediatrician
Dr. Shivendra Das,MBBS,85%,(13 patients),Sector 16,Greater Noida,₹500,43,"General Physician, General Practitioner"
Dr. Rahul Tyagi   (Physiotherapist),"BPTh/BPT, MPTh/MPT - Neurological Physiotherapy",100%,(37 patients),Alpha II,Greater Noida,₹500,13,"TherapistPhysiotherapist, Neuro Physiotherapist"
Dr. Pallavi Sharma   (Physiotherapist),MPTh/MPT - Orthopedic Physiotherapy,100%,(22 patients),Alpha I,Greater Noida,₹500,t6,TherapistOrthopedic Physiotherapist
Dr. Amita Bansal,"MBBS, DGO, DNB - Obstetrics & Gynecology",98%,(167 patients),Sector 16,Greater Noida,₹600,15,"Gynecologist, Obstetrician, Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn)"
Dr. Tanay Dubey,"BDS, MDS - Oral Pathology and Oral Microbiology",,,Greater Noida West,Greater Noida,₹400,t8,Dentist
Dr. Sadhna Jaiswal,"MS - Obstetrics & Gynaecology, MBBS",,,NRI City,Greater Noida,₹800,39,"Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn), Gynecologist"
Dr. Ajai Kumar Srivastava   (PhD),PhD - Psychology,,,Sector 1,Greater Noida,₹1200,36,"TherapistCounselling Psychologist, Psychologist"
Dr. Ruchi Srivastava,"MBBS, MS - Obstetrics & Gynaecology",,,Omega 1,Greater Noida,₹900,26,Gynecologist
Dr. Seema Patil,"BDS, MDS - Paedodontics And Preventive Dentistry",97%,(39 patients),Omega 1,Greater Noida,₹500,20,"Cosmetic/Aesthetic Dentist, Dental Surgeon, Dentist, Pediatric Dentist"
Dr. K  K Gupta,"MBBS, Diploma in Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",83%,(23 patients),Greater Noida West,Greater Noida,₹600,13,"Orthopedic surgeon, Joint Replacement Surgeon, Spine Surgeon (Ortho)"
Dr. Pradeep K Singh,"MBBS, MD - Pediatrics",96%,(100 patients),Zeta I,Greater Noida,₹700,14,"Pediatrician, General Practitioner"
Dr. Pavan Patil,"BDS, MDS - Oral & Maxillofacial Surgery",96%,(89 patients),Omega 1,Greater Noida,₹500,20,"Implantologist, Oral And MaxilloFacial Surgeon, Dentist"
Dr. Akshay Rathore,"BDS, MDS - Oral Medicine and Radiology",95%,(43 patients),Greater Noida West,Greater Noida,₹300,12,"Oral Medicine and Radiology, Dentist"
Dr. Saloni Thakur,BDS,87%,(15 patients),Greater Noida West,Greater Noida,₹400,t8,"Dentist, Cosmetic/Aesthetic Dentist"
Dr. Kirti Bansal,"BDS, MDS - Prosthodontics",97%,(78 patients),Sector Alpha II,Greater Noida,₹500,16,"Prosthodontist, Dentist, Implantologist"
Dr. Abhisar Katiyar,"MBBS, Diploma in Orthopaedics, DNB - Orthopedics/Orthopedic Surgery",96%,(397 patients),Phi III,Greater Noida,₹700,20,"Orthopedic surgeon, Joint Replacement Surgeon"
Dr. Ashwani Kumar Singh,"MBBS, MS - General Surgery, MCh - Plastic Surgery",,,Omega 1,Greater Noida,₹800,12,"Hair Transplant Surgeon, Burn Surgeon, Plastic Surgeon"
Dr. Vinay Saini,"BDS, MDS - Oral & Maxillofacial Surgery",96%,(56 patients),Greater Noida West,Greater Noida,₹400,13,"Dentist, Oral And MaxilloFacial Surgeon, Dental Surgeon"
Dr. Smiti Jain Aggarwal,"DNB - Obstetrics & Gynecology, MBBS, DGO, MRCOG(UK)",97%,(35 patients),Greater Noida West,Greater Noida,₹700,13,"Laparoscopic Surgeon (Obs & Gyn), Gynecologist, Obstetrician"
Dr. Renu Singh,BHMS,91%,(56 patients),Greater Noida West,Greater Noida,₹500,16,AYUSHHomoeopath
Dr. Alka Goel,"MBBS, DGO",,,Sector 4,Greater Noida,₹600,20,"Gynecologist, Obstetrician"
Dr. Shailendra Kumar,"MD - General Medicine, MBBS",,,Bisrakh,Greater Noida,₹500,15,Internal Medicine
Dr. Sunaina Sirohi,BHMS,100%,(160 patients),Gamma I,Greater Noida,₹500,h7,AYUSHHomoeopath
Ms. Shivi Srivastava,"Post Graduate Diploma in Clinical Nutrition & Dietetics, BSc. - Home Science",97%,(109 patients),Greater Noida West,Greater Noida,₹1000,16,TherapistDietitian/Nutritionist
Dr. Shruti Mittal   (Physiotherapist),"MPTh/MPT - Neurological Physiotherapy, BPTh/BPT",,,Omega 1,Greater Noida,₹500,14,"TherapistNeuro Physiotherapist, Physiotherapist"
Dr. Suman Mehla,"MBBS, MS - Obstetrics & Gynaecology",98%,(545 patients),Phi III,Greater Noida,₹700,20,"Obstetrician, Gynecologist, Infertility Specialist, Laparoscopic Surgeon (Obs & Gyn)"
Dr. Riti Srivastava,MD - Physician,,,Tilapta Karanwas,Greater Noida,₹700,10,"General Physician, General Practitioner"
Dr. Pushpankar Singh   (Physiotherapist),"MPTh/MPT - Orthopedic Physiotherapy, BPTh/BPT",96%,(45 patients),Greater Noida West,Greater Noida,₹400,13,"TherapistPhysiotherapist, Orthopedic Physiotherapist"
Ms. Parul Bhardwaj,MSc - Food Science and Nutrition,100%,(25 patients),Sector 1,Greater Noida,₹1000,15,TherapistDietitian/Nutritionist
Dr. Vipula Mittal,"BDS, MDS - Prosthodontist And Crown Bridge",100%,(80 patients),Alpha II,Greater Noida,₹300,13,"Prosthodontist, Dentist"
Dr. Nakul Motla,BDS,99%,(212 patients),Beta II,Greater Noida,₹300,16,"Dentist, Implantologist, Dental Surgeon"
Dr. Saru Bansal   (Physiotherapist),"MPTh/MPT - Orthopedic Physiotherapy, BPTh/BPT",98%,(134 patients),Greater Noida West,Greater Noida,₹500,18,"TherapistPhysiotherapist, Orthopedic Physiotherapist"
Dr. (Prof.) Nilanjana Basu,"BHMS, MD - Homeopathy",97%,(117 patients),Alpha-I Commercial Belt,Greater Noida,₹600,21,AYUSHHomoeopath
Dr. Pramod Kumar,MBBS,,,I.A. Surajpur,Greater Noida,₹500,42,General Physician
Dr. Priyanka Bhushan,"BDS, MDS - Public Health Dentistry",100%,(11 patients),Omega 1,Greater Noida,₹300,14,"Dental Surgeon, Public Health Dentist"
Dr. Shuchi Sharma,"MBBS, DNB - Paediatrics",,,Greater Noida West,Greater Noida,₹500,13,Pediatrician
Dr. Manisha Ranjan,"MBBS, DGO",89%,(953 patients),Greater Noida West,Greater Noida,₹900,21,"Obstetrician, Gynecologist"
Dr. Ashish,"MBBS, MD - Pediatrics",,,Greater Noida West,Greater Noida,₹500,15,Pediatrician
Dr. Shubham Mittal,"MBBS, DNB - ENT",,,Bisrakh,Greater Noida,₹400,r4,"General Physician, ENT/ Otorhinolaryngologist, General Practitioner"
Dr. Nishitosh Niranjan,"MBBS, MD - Pediatrics",99%,(334 patients),Omega 1,Greater Noida,₹1000,13,Pediatrician
Dr. Priyanka Mohini,"MBBS, DNB - Ophthalmology, DO",,,Greater Noida West,Greater Noida,₹500,15,Ophthalmologist/ Eye Surgeon
Dr. Rachninder Kaur,"BDS, MDS - Oral Medicine and Radiology",97%,(29 patients),Greater Noida West,Greater Noida,₹500,14,"Oral Medicine and Radiology, Dentist"
Dr. Shweta Sapra,"BDS, Comprehensive Course in Modern Endodontics",97%,(151 patients),Greater Noida West,Greater Noida,₹500,27,"Dentist, Cosmetic/Aesthetic Dentist"
Dr. Nishant Bansal,"MBBS, Diploma in Child Health (DCH), DNB - Pediatrics",93%,(14 patients),Sector 16,Greater Noida,₹600,14,Pediatrician
